comment_id,user_name,content
2027582101055240,Do Quynh Trang,"Ui, nhìn y chang da mình đợt trước Tết, mình đi khám da liễu thì Bsi bảo là do bị viêm da tiếp xúc kích ứng"
2027583151055135,My Lâm,"Khô quá bị chàm da í!c lột da quanh mép, Dù bôi serum B5 và xài kem phục hồi vẫn bị! Xong cái bị ngứa nữa, nghi bị chàm da nên bôi thuốc trị chàm , trộm vía 2 ngày hết luôn"
2028753967604720,Hà Phương,"C mới đi khám ở bên bs Thảo thấy oke lắm e, làm xong còn có bảo hành và cam kết với chất lượng cũng tốt nữa. E tham khảo nha"
2027612527718864,Nguyễn Khánh Ly,"Có dùng treatment gì k b, hay ngứa k"
2027581591055291,Thanh Hậu,Bạn ở đâu
2027582031055247,Minh Chiến,Cái này tui bị nè :)) này viêm da tiết bã nha bà. Hình như trên tóp tóp có chai thuốc gì thoa lên thấy bán cũng mấy chục ngàn lượt bán ý. Tui chưa mua có gì mua rồi feedback cho tui nha kkk
2027578107722306,Khánh Linh,"Cấp ẩm phục hồi đi bà, da khô lắm r đó"
2027580914388692,Nguyễn Duyên,khô da nên dùng gì vậy mng 🥲
2028283717651745,Yến Nhi Trần,"Mọi ng ơi, đăng bài bao lâu thì đc duyệt vậy ạ"
2027586141054836,Phạm Ngọc Chúc,"Kh hết đc hay s á , đợt bôi thuốc này đến thuốc kia k hết , sau thời gian k để ý tự nó hết 🥲"
2027590574387726,Pé Tý,cấp ẩm phục hồi. mặt nạ b5 liên tục vô b
2027634071050043,Tú Aanh,"Đang bị luôn nè huhu , như kiểu da khô rồi bị bong tróc da í ."
2027595811053869,Nguyễn Nhung,"đợt tui đi đl về da bỏng lạnh bong tróc, tui sài này 10 ngày da lành lại nè🫶🫶 cấp ẩm siêu đỉnh"
2027593417720775,Sáng Xuân,"Có dk thì dunf loại này vừa phụ hồi vừa siêu cấp ẩm, mình uống iso trị mụn hàm lượng cao tới 40mg nhưng dùng loại này k bị khô da lúc nào luôn"
2028803094266474,Mimie,Đi khám da liễu nha e
2027928464353937,Hương Phạm,"Cát Nhã Phạm Mình làm vậy đó
1. Tẩy trang. https://shope.ee/7AG3ydjU1F
2. Tẩy tế bào chết: https://shope.ee/7AG3ydjU1F
3. Rửa mặt: https://shope.ee/2fnecQuSfO
4. Peel da: https://shope.ee/30QV0p7iRQ
5. Rửa mặt rồi bôi tone:https://shope.ee/1LIH22BndH
6. Serum phục hồi:
7. Khóa ẩm: https://shope.ee/4ps5T8felc"
2028877590925691,Kim Anh Nguyễn,"Chị dùng kem duong goodndoc rau má đi, bữa em cũng bị mà xài cái này thì hết"
2027588037721313,Bao Anh,"T bị hoài lun á cứ thay đổi thời tiết hay nguồn nc có vde là bị, trvia dùng ké kem hăm của thg con mà hết nha bà :)) https://s.shopee.vn/
/2VXczX8lo4
Viết liền link lại là đc"
2027679697712147,Uyên,Mình dùng tretinoin bị bong da này có phải bị chàm da hay do tre làm khô da bong tróc ạ
2027860401027410,Trang Đào,Da chị khô bị chàm sử dụng kem ha Collagen chị nhé bên em có ạ
2027808121032638,Cà Na,"Dâp măt nạ b5,xài tay trang b5 surm b5"
2027914851021965,Thu Hiền,"nỗi buồn không của riêng ai 🥲, bị hoài luôn á"
2028254724321311,Tr Nhan,"T mỗi lần bỏ bê để da khô, dày sừng là bị tróc khắp mặt, 2 bên mép miệng thì vừa tróc vừa ngứa, gỡ ra là rát, xong bị thâm và sẽ lại kết vảy rồi lại ngứa tróc tiếp. T quen rồi nên chỉ bôi dưỡng ẩm, uống đủ nước vài hôm để da mềm ra để khi tẩy tbc ko làm tổn thương da nhiều. Mấy bữa mới bôi dưỡng ẩm là lấy tay gẩy thử là nó tróc vảy lớp sừng khô, sau đó cứ duy trì dưỡng ẩm tẩy tbc thì da mềm, sờ ko có cảm giác thô ráp. T khá làm biếng nên t chỉ chăm sóc da sơ sơ vậy thôi."
2029637310849719,Darius Pham,"Chủ yếu cấp ẩm, bạn qua Byon Clinic soi da cho chắc ăn nha"
2027636251049825,Đào Ngọc Trà,"này là bị chàm rồi , trc mình cũg vậy , do thiếu hiểu biết nên thấy khô mảng trắng càng tẩy da chết càng nhiều.vì nghĩ đơn giản là nó lên thì tẩy cho nó sạch rồi mới cấp ẩm dc 😵‍💫 bạn mua tuý Dermovate ấy . bôi 2 lần hết ngay .nhà mình ai cx da mẫn cảm dễ kích ứng nên lúc nào cx sẵn.dùg dc cho ng viêm da kích ứng , á sừng , vảy nến nữa á"
2027586761054774,Dung Thuỳ,"Giống chàm khô như mình bị. Năm nào mùa hanh khô mình cũng bị, tái đi tái lại k khỏi. Bsi kê bôi ziaja 3% ure nhưng đỡ thôi chứ k khỏi hẳn."
2027581901055260,Thùy Linh,"Này bị chàm da giống mình ạ. Mình đi khám bệnh viện có thuốc bôi. Cấp ẩm mãi vẫn bị thui, để kéo dài bị nặng hơn ấy ạ."
2027609361052514,Muội Muội,"Hổm t cũng bị y chang. Mà còn nặng hơn, ra Long Châu mua nano bạc tuýp 140k về sức 2 hôm hết trơn"
2027599651053485,Quỳnh Quỳnh,"cái này e thấy k giống do khô da, c đi khám da liễu cho chắc nhé"
2028001737679943,Lê Thị Thu Nga,"Đừng bôi linh tinh, chịu khó đi khám da liễu xem bsi bảo sao chứ bôi linh tinh lại nặng thêm thì khổ ra"
