comment_id,user_name,content
2026011994545584,Trần Thị Thu Huyền,Các vùng da thâm này trước thì có đỏ ngứa trước sau mới thâm dần lại không cháu?
2025912194555564,Nguyễn Thị Kiều Diễm,"Mấy chị ơi. Sp này oki ko ạ, e được tặng mà ko thấy ai đăng về chai serum này í"
2025892691224181,Thuý Mỹ,Đi khám ngay lập tức đừng chần chừ nha bạn.
2025892311224219,Nguyễn Minh Nhựt,"Thiếu vitamin c trái cây rau củ
Cần thiết thì đi khám"
2025897404557043,Đinh Quyên,"Mình cucng bị mấy năm rồi, khum sao đâu. Bổ sung thêm vitamin là được thuii"
2026172494529534,Nguyễn T. Lan Ánh,Đi khám nha p.
2026091861204264,하슬,"Bổ sung vitamin vào bạn nhé. Ăn nhiều rau xanh, hoa quả vào."
2026131427866974,Trang Nguyễn,Đi test thử về công thức máu nha Em
2026198394526944,Vy Pam,"Loại này dưỡng body mịn vs giảm thâm cực tốn lun nè bạn nhưng phải kiên trì sử dụng nha
BBW-GEH-MZZ
https://s.shopee.vn/9UhK5ZnC5X"
2025956271217823,Nga Ngố,"Mình cũng bị như vậy,bữa đi khám có hỏi bsi thì bác bảo bị suy tĩnh mạch. Khám ở đại học y dược tp hcm."
2026006524546131,Hoàng Thu Trang,"Đi khám nha, mẹ tui bị thiếu máu 3 loại cũng hay bị vậy nè."
2025892521224198,Trương Bích Ngọc,Bảo Hân y chang e này
2026268534519930,My My,Chị đi khám chưa ạ?
2025922517887865,Mai Hồng Diễm,Có sốt chiểu k b?
2025973097882807,Phương Phương,"B làm xn công thức máu và đông máu cơ bản xem có vấn đề gì về đông cầm máu ko. Nếu b muốn làm thêm có thể kiểm tra chức năng gan thận: Ure, creatinin, GOT, GPT. Như mình thì xn k có vấn đề => thành mạch yếu, bổ sung Rutin C thì đỡ."
2025898961223554,Junseo Toet's,"M hay bị vậy chả sao đâu bạn, da mỏng va nhẹ nó cũng thâm."
2026005477879569,Hoa Nghiêm,EM thiếu C nên thành mạch bị dễ vỡ . Mua Rutin C uống 1 tg nhé
2025914221222028,Nguyễn Ngọc Nhi,em cũng hay bị ạ 🥹🥹🥹
2026143644532419,Bác Sĩ Đạt,Em dùng trị thâm đi em
2025909054555878,Khánh Linh,Thiếu vtm K nên da dễ bị bầm á chị
2025887674558016,Nguyễn Thị Thuý Quỳnh,Hqa m có xem 1 video thấy bảo bị giảm tiểu cầu. B thử đi xn máu xem ạ
2025892374557546,Lợi Chi,Đi khám xn máu để biết chính xác b nhé. Mình cũng bị vậy là do bị giảm tiểu cầu
2025921657887951,Pham Van,Bạn bị tuột platelets đó. Có xuất hiện mấy hạt đỏ đỏ dưới da ko? Uống viên sắt với vitamin D vô. Ăn canh soup dền đỏ nữa.
2025950007885116,Na Miko,Đi kiểm tra công thức máu nha. Xưa mình bị vậy khám ra bị giảm tiểu cầu ấy 😌
2025892124557571,Đặng Kiều Trâm,"Bạn nên đi xét nghiệm máu nhé, có thể nguyên nhân do suy giảm tiểu cầu hoặc rối loạn đông máu"
2025942171219233,Mimie,"1 là nếu có điều kiện thì b nên đi khám xem nhé
mình cũng bị, đi khám bsi nói mình uống nhiều nước cam là đỡ á, do da mỏng mạch máu mỏng gì đó"
2026351357844981,Dương Thị Kim Thanh,"Trước bé nhà mình bị xuất huyết giảm tiểu cầu ,bị như b đó,nhưng bé nhà mk còn xuất hiện nhiều đốm đỏ nữa"
2026719284474855,Phạm Hường,Nếu b đã và đang dùng sản phẩm chứa Corticoid thì nên kiểm tra Tuyến Thượng Thận nhé. Mẹ mình cũng như này đi khám bị suy tuyến thượng thận
2026225411190909,Cuc Nguyen,Nên đi khám và xét nghiệm máu thử xem vì vết bầm ko tác động vật lý thường liên quan đến giảm tiểu cầu và 1 số bệnh khác
2025893167890800,Phụng Nguyễn,"Đi khám đi bạn, dấu hiệu giảm tiểu cầu trong máu, để lâu dẫn đến suy tim suy thận các cơ quan nội tạng ad"
